Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,latitude,longitude
Pumpkin,,1713,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1713 South Street,19146,philadelphia,,
Lazaro's Pizza,,1743,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1743 South Street,19146,philadelphia,,
OCF Coffee House,,1745,South Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,1745 South Street,19146,philadelphia,,
Bistro Southeast,,1824,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1824 South Street,19146,philadelphia,,
Randazzo's Pizzeria,,1826,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1826 South Street,19146,philadelphia,,
Fortune Chinese Restaurant,,1828,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1828 South Street,19146,philadelphia,,
TEN STONE,,2059,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2059 South Street,19146,philadelphia,,
La Va Café,,2100,South Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2100 South Street,19146,philadelphia,,
Honey's Sit 'N Eat,,2101,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2101 South Street,19146,philadelphia,,
Andy's Chicken,,2108,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2108 South Street,19146,philadelphia,,
Rita's Italian Ice & Frozen Custard,,2124,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2124 South Street,19146,philadelphia,,
My Thai,,2200,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2200 South Street,19146,philadelphia,,
STARBUCKS CORPORATION,,2201,South Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2201 South Street,19146,philadelphia,,
Fuzhou House,,2202,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2202 South Street,19146,philadelphia,,
Ants Pants Café,,2212,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2212 South Street,19146,philadelphia,,
Falafel Time,,2214,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2214 South Street,19146,philadelphia,,
Callahan's Grille,,2615,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2615 South Street,19146,philadelphia,,
WATERFRONT GOURMET,,2716,South Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2716 South Street,19146,philadelphia,,
Huong Tram Restaurant,,1601,Washington Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1601 Washington Avenue,19146,philadelphia,,
