"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Penn Medicine - Tuttleman Center",,1840,"South Street","Philadelphia, PA 19146",,,,,"Medical ",,,,,,,,"1840 South Street",19146,philadelphia,PA,39.944375,-75.172422,1,range_interpolation,1840,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Sharon Savings Bank",,1900,"South Street","Philadelphia, PA 19146",,,,,"Bank / Financial Institution",,,,,,,,"1900 South Street",19146,philadelphia,PA,39.944788,-75.17348,1,range_interpolation,1900,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Coldwell Banker - Welker Real Estate",,1904,"South Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"1904 South Street",19146,philadelphia,PA,39.944503,-75.173762,1,rooftop,1904,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
EpidEdmy,,1904,"South Street","Philadelphia, PA 19146",,,,,"Skin Care/Spa",,,,,,,,"1904 South Street",19146,philadelphia,PA,39.944503,-75.173762,1,rooftop,1904,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
Kriskolo,,1908,"South Street","Philadelphia, PA 19146",,,,,"Architects / Designers",,,,,,,,"1908 South Street",19146,philadelphia,PA,39.94452,-75.173878,1,rooftop,1908,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Butcher's Sew Shop",,1912,"South Street","Philadelphia, PA 19146",,,,,"Sewing Classes",,,,,,,,"1912 South Street",19146,philadelphia,PA,39.944514,-75.173652,1,range_interpolation,1912,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Hellen's Cleaners",,2000,"South Street","Philadelphia, PA 19146",,,,,"Dry Cleaner / Laundromat",,,,,,,,"2000 South Street",19146,philadelphia,PA,39.944654,-75.1752,1,rooftop,2000,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Paul's Shoe Repair",,2002,"South Street","Philadelphia, PA 19146",,,,,"Shoe Repair / Key Shop",,,,,,,,"2002 South Street",19146,philadelphia,PA,39.944662,-75.175269,1,rooftop,2002,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Nationwide Insurance - Kevin Halpin",,2003,"South Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"2003 South Street",19146,philadelphia,PA,39.945018,-75.175198,1,rooftop,2003,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Jade Business Services",,2003,"South Street","Philadelphia, PA 19146",,,,,"Services (Accountants)",,,,,,,,"2003 South Street",19146,philadelphia,PA,39.945018,-75.175198,1,rooftop,2003,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Image Revolver",,2020,"South Street","Philadelphia, PA 19146",,,,,"Services (Video Marketing)",,,,,,,,"2020 South Street",19146,philadelphia,PA,39.944754,-75.175843,1,rooftop,2020,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Moorish science temple of America",,2022,"South Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"2022 South Street",19146,philadelphia,PA,39.944762,-75.175907,1,rooftop,2022,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Doggie Style Pets South",,2101,"South Street","Philadelphia, PA 19146",,,,,"Pet Supply / Grooming",,,,,,,,"2101 South Street",19146,philadelphia,PA,39.94493,-75.176985,1,range_interpolation,2101,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"CVS PHARMACY INC*",,2132,"South Street","Philadelphia, PA 19146",,,,,Pharmacy,,,,,,,,"2132 South Street",19146,philadelphia,PA,39.944993,-75.177407,1,range_interpolation,2132,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"RIMS Dry Cleaners",,2203,"South Street","Philadelphia, PA 19146",,,,,"Dry Cleaning",,,,,,,,"2203 South Street",19146,philadelphia,PA,39.945483,-75.178741,1,rooftop,2203,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"City Cat Vets",,2210,"South Street","Philadelphia, PA 19146",,,,,Pets,,,,,,,,"2210 South Street",19146,philadelphia,PA,39.945147,-75.179042,1,rooftop,2210,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Best City Homes",,2216,"South Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"2216 South Street",19146,philadelphia,PA,39.945168,-75.179202,1,rooftop,2216,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Amazon Hub + Locker",,2306,"South Street","Philadelphia, PA 19146",,,,,"Service (Mail Pick-up)",,,,,,,,"2306 South Street",19146,philadelphia,PA,39.945256,-75.179617,1,range_interpolation,2306,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Hudson James Homes",,2314,"South Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"2314 South Street",19146,philadelphia,PA,39.945295,-75.180324,1,rooftop,2314,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Agent PHL",,2314,"South Street","Philadelphia, PA 19146",,,,,Realtor,,,,,,,,"2314 South Street",19146,philadelphia,PA,39.945295,-75.180324,1,rooftop,2314,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Ellen Schwartz & Jeremy Siegel Early Childhood Education Center",,2501,"South Street","Philadelphia, PA 19146",,,,,"School / Educational / Day Care",,,,,,,,"2501 South Street",19146,philadelphia,PA,39.945541,-75.181879,1,range_interpolation,2501,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"O'Conner Pool",,2601,"South Street","Philadelphia, PA 19146",,,,,"Park / Recreation (Pool)",,,,,,,,"2601 South Street",19146,philadelphia,PA,39.945692,-75.18316,1,range_interpolation,2601,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"CHOP- The Roberts Center for Pediatric Research",,2716,"South Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"2716 South Street",19146,philadelphia,PA,39.945301,-75.186889,1,rooftop,2716,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
PetSmart,,1415,"Washington Avenue","Philadelphia, PA 19146",,,,,"Pet Services",,,,,,,,"1415 Washington Avenue",19146,philadelphia,PA,39.937754,-75.167033,0.9,range_interpolation,1415,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Hung Long Communications",,1601,"Washington Avenue","Philadelphia, PA 19146",,,,,"Services (Cell phone)",,,,,,,,"1601 Washington Avenue",19146,philadelphia,PA,39.938558,-75.170241,1,rooftop,1601,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"A&T Business Services",,1601,"Washington Avenue","Philadelphia, PA 19146",,,,,"Services (Taxes)",,,,,,,,"1601 Washington Avenue",19146,philadelphia,PA,39.938558,-75.170241,1,rooftop,1601,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Saigon + Travel",,1601,"Washington Avenue","Philadelphia, PA 19146",,,,,Travel,,,,,,,,"1601 Washington Avenue",19146,philadelphia,PA,39.938558,-75.170241,1,rooftop,1601,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Allstate - Sonny Tran",,1625,"Washington Avenue","Philadelphia, PA 19146",,,,,"Services (Insurance)",,,,,,,,"1625 Washington Avenue",19146,philadelphia,PA,39.93855,-75.170867,1,rooftop,1625,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"TeleStar Wireless",,1635,"Washington Avenue","Philadelphia, PA 19146",,,,,"Services (Cell phone)",,,,,,,,"1635 Washington Avenue",19146,philadelphia,PA,39.938675,-75.171143,1,rooftop,1635,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Basil's Auto Body",,1645,"Washington Avenue","Philadelphia, PA 19146",,,,,"Automotive / Car Services",,,,,,,,"1645 Washington Avenue",19146,philadelphia,PA,39.938638,-75.17136,1,rooftop,1645,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"GRACE & PEACE COMMUNITY CHURCH",,1701,"Washington Avenue","Philadelphia, PA 19146",,,,,"House of worship",,,,,,,,"1701 Washington Avenue",19146,philadelphia,PA,39.938297,-75.171602,1,range_interpolation,1701,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
Homique,,1709,"Washington Avenue","Philadelphia, PA 19146",,,,,"Home furnishings (Furniture)",,,,,,,,"1709 Washington Avenue",19146,philadelphia,PA,39.938679,-75.172047,1,range_interpolation,1709,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Falcone's Interior",,1714,"Washington Avenue","Philadelphia, PA 19146",,,,,"Home furnishings (Furniture)",,,,,,,,"1714 Washington Avenue",19146,philadelphia,PA,39.938187,-75.172306,1,rooftop,1714,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"ALLURE Window Treatments",,1714,"Washington Avenue","Philadelphia, PA 19146",,,,,"Home furnishings (Windows)",,,,,,,,"1714 Washington Avenue",19146,philadelphia,PA,39.938187,-75.172306,1,rooftop,1714,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"LITTLE SHEPARDS CHRISTIANS LEARNING CENTER INC",,1719,"Washington Avenue","Philadelphia, PA 19146",,,,,"Child Care",,,,,,,,"1719 Washington Avenue",19146,philadelphia,PA,39.938699,-75.172323,1,range_interpolation,1719,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"AUTOZONE ",,1730,"Washington Avenue","Philadelphia, PA 19146",,,,,"Automotive / Car Services",,,,,,,,"1730 Washington Avenue",19146,philadelphia,PA,39.938247,-75.172787,1,rooftop,1730,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Maytag Laundromat",,1801,"Washington Avenue","Philadelphia, PA 19146",,,,,Laundromat,,,,,,,,"1801 Washington Avenue",19146,philadelphia,PA,39.938914,-75.173337,1,rooftop,1801,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Cellular Express & Repair",,1801,"Washington Avenue","Philadelphia, PA 19146",,,,,"Services (Cell phone)",,,,,,,,"1801 Washington Avenue",19146,philadelphia,PA,39.938914,-75.173337,1,rooftop,1801,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Chew Playground",,1820,"Washington Avenue","Philadelphia, PA 19146",,,,,"Park / Recreation",,,,,,,,"1820 Washington Avenue",19146,philadelphia,PA,39.938546,-75.173485,1,range_interpolation,1820,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"OCF Realty",,1936,"Washington Avenue","Philadelphia, PA 19146",,,,,"Real Estate",,,,,,,,"1936 Washington Avenue",19146,philadelphia,PA,39.93875,-75.175214,1,range_interpolation,1936,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"NEXTFAB STUDIOS LLC",,2025,"Washington Avenue","Philadelphia, PA 19146",,,,,"Services (Material Work / Educational)",,,,,,,,"2025 Washington Avenue",19146,philadelphia,PA,39.939229,-75.17665,1,range_interpolation,2025,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"CALIBER Collision",,2052,"Washington Avenue","Philadelphia, PA 19146",,,,,"Automotive / Car Services",,,,,,,,"2052 Washington Avenue",19146,philadelphia,PA,39.939004,-75.177124,1,range_interpolation,2052,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Exyn Technologies",,2118,"Washington Avenue","Philadelphia, PA 19146",,,,,"R&D (UAS)",,,,,,,,"2118 Washington Avenue",19146,philadelphia,PA,39.939115,-75.179506,1,rooftop,2118,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"EXTRA SPACE STORAGE MGMT INC",,2300,"Washington Avenue","Philadelphia, PA 19146",,,,,Storage,,,,,,,,"2300 Washington Avenue",19146,philadelphia,PA,39.939397,-75.181966,1,rooftop,2300,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
Streamline,,2301,"Washington Avenue","Philadelphia, PA 19146",,,,,"Real estate",,,,,,,,"2301 Washington Avenue",19146,philadelphia,PA,39.940028,-75.182245,1,rooftop,2301,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"S&F Auto Detailing",,2427,"Washington Avenue","Philadelphia, PA 19146",215-605-1885,,,,"Automotive / Car Services",,,,,,,,"2427 Washington Avenue",19146,philadelphia,PA,39.940262,-75.18416,1,rooftop,2427,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"KX AUTO LLC",,2429,"Washington Avenue","Philadelphia, PA 19146",267-324-5784,,,,"Automotive / Car Services",,,,,,,,"2429 Washington Avenue",19146,philadelphia,PA,39.940281,-75.184255,1,rooftop,2429,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"A ONE AUTO SALES & REPAIR",,2433,"Washington Avenue","Philadelphia, PA 19146",,,,,"Automotive / Car Services",,,,,,,,"2433 Washington Avenue",19146,philadelphia,PA,39.940105,-75.183574,1,range_interpolation,2433,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Z Dog: Philly's Pet Care",,2617,"Washington Avenue","Philadelphia, PA 19146",,,,,"Pet Services",,,,,,,,"2617 Washington Avenue",19146,philadelphia,PA,39.940399,-75.186634,1,range_interpolation,2617,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
