"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Eco Cleaners",,2300,"Christian Street","Philadelphia, PA 19146",,,,,"Dry Cleaner / Laundromat",,,,,,,,"2300 Christian Street",19146,philadelphia,PA,39.941706,-75.18117,1,rooftop,2300,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Veolia Energy",,2600,"Christian Street","Philadelphia, PA 19146",,,,,"Utility Company",,,,,,,,"2600 Christian Street",19146,philadelphia,PA,39.942113,-75.188046,1,rooftop,2600,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Mina Motors",,1411,"Fitzwater Street","Philadelphia, PA 19146",,,,,"Automotive / Car Services",,,,,,,,"1411 Fitzwater Street",19146,philadelphia,PA,39.941735,-75.16658,1,range_interpolation,1411,"Fitzwater St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Slater Funeral Home",,1426,"Fitzwater Street","Philadelphia, PA 19146",,,,,"Services (Funeral Home)",,,,,,,,"1426 Fitzwater Street",19146,philadelphia,PA,39.94176,-75.166732,1,range_interpolation,1426,"Fitzwater St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Union Baptist Church",,1910,"Fitzwater Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"1910 Fitzwater Street",19146,philadelphia,PA,39.942645,-75.174445,1,rooftop,1910,"Fitzwater St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Sweet Pea Event Decorator",,2227,"Grays Ferry Avenue","Philadelphia, PA 19146",,,,,"Service (Decoration)",,,,,,,,"2227 Grays Ferry Avenue",19146,philadelphia,PA,39.945062,-75.179546,1,rooftop,2227,"Grays Ferry Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Vinocity Events",,1814,"Kater Street","Philadelphia, PA 19146",,,,,"Event Planning",,,,,,,,"1814 Kater Street",19146,philadelphia,PA,39.943963,-75.172655,1,rooftop,1814,"Kater St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Marian Anderson Historical Society & Museum",,762,"Martin Street","Philadelphia, PA 19146",,,,,"Museum / Historical Society",,,,,,,,"762 Martin Street",19146,philadelphia,PA,39.94237,-75.17495,1,rooftop,762,"Martin St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Community Laundromat",,1501,"Montrose Street","Philadelphia, PA 19146",,,,,Laundromat,,,,,,,,"1501 Montrose Street",19146,philadelphia,PA,39.939883,-75.16818,1,rooftop,1501,"Montrose St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Family Dentistry - Silvana Cumani DMD & Associates PC",,2200,"Montrose Street","Philadelphia, PA 19146",,,,,Medical,,,,,,,,"2200 Montrose Street",19146,philadelphia,PA,39.941055,-75.17963,1,rooftop,2200,"Montrose St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Universal Companies",,800,"S 15th Street","Philadelphia, PA 19146",,,,,Developer,,,,,,,,"800 S 15th Street",19146,philadelphia,PA,39.940947,-75.168057,1,rooftop,800,"S 15th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Universal Institute Charter School",,801,"S 15th Street","Philadelphia, PA 19146",,,,,"School / Educational",,,,,,,,"801 S 15th Street",19146,philadelphia,PA,39.940787,-75.1677,1,rooftop,801,"S 15th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"UNITED MUSLIM MOVEMENT",,810,"S 15th Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"810 S 15th Street",19146,philadelphia,PA,39.940722,-75.168004,1,range_interpolation,810,"S 15th St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
